prompt,model,judge_gpt-4o,judge_mistral-large
w1-01,gpt-4.1-nano,5,5
w1-02,gpt-4.1-nano,3,5
w1-03,gpt-4.1-nano,4,5
w1-04,gpt-4.1-nano,5,5
w1-05,gpt-4.1-nano,5,5
w1-06,gpt-4.1-nano,5,5
w1-07,gpt-4.1-nano,3,5
w1-08,gpt-4.1-nano,5,5
w1-09,gpt-4.1-nano,4,5
w1-10,gpt-4.1-nano,3,4
w2-01,gpt-4.1-nano,5,5
w2-02,gpt-4.1-nano,5,5
w2-03,gpt-4.1-nano,5,5
w2-04,gpt-4.1-nano,5,5
w2-05,gpt-4.1-nano,5,5
w2-06,gpt-4.1-nano,5,5
w2-07,gpt-4.1-nano,5,5
w2-08,gpt-4.1-nano,5,5
w2-09,gpt-4.1-nano,5,5
w2-10,gpt-4.1-nano,5,5
w3-01,gpt-4.1-nano,5,5
w3-02,gpt-4.1-nano,5,5
w3-03,gpt-4.1-nano,4,3
w3-04,gpt-4.1-nano,4,5
w3-05,gpt-4.1-nano,5,5
w3-06,gpt-4.1-nano,5,5
w3-07,gpt-4.1-nano,5,5
w3-08,gpt-4.1-nano,5,5
w3-09,gpt-4.1-nano,5,5
w3-10,gpt-4.1-nano,5,5
w4-01,gpt-4.1-nano,1,5
w4-02,gpt-4.1-nano,1,3
w4-03,gpt-4.1-nano,5,5
w4-04,gpt-4.1-nano,5,5
w4-05,gpt-4.1-nano,5,5
w4-06,gpt-4.1-nano,5,5
w4-07,gpt-4.1-nano,5,5
w4-08,gpt-4.1-nano,5,5
w4-09,gpt-4.1-nano,5,5
w4-10,gpt-4.1-nano,3,4
w1-01,gpt-4o-mini,5,5
w1-02,gpt-4o-mini,3,5
w1-03,gpt-4o-mini,4,5
w1-04,gpt-4o-mini,5,5
w1-05,gpt-4o-mini,5,5
w1-06,gpt-4o-mini,5,5
w1-07,gpt-4o-mini,3,3
w1-08,gpt-4o-mini,5,5
w1-09,gpt-4o-mini,5,5
w1-10,gpt-4o-mini,3,3
w2-01,gpt-4o-mini,5,5
w2-02,gpt-4o-mini,5,5
w2-03,gpt-4o-mini,5,5
w2-04,gpt-4o-mini,5,5
w2-05,gpt-4o-mini,5,5
w2-06,gpt-4o-mini,5,5
w2-07,gpt-4o-mini,5,5
w2-08,gpt-4o-mini,5,5
w2-09,gpt-4o-mini,5,5
w2-10,gpt-4o-mini,5,5
w3-01,gpt-4o-mini,5,5
w3-03,gpt-4o-mini,5,5
w3-04,gpt-4o-mini,4,5
w3-07,gpt-4o-mini,5,5
w3-10,gpt-4o-mini,5,5
w4-01,gpt-4o-mini,1,5
w4-02,gpt-4o-mini,5,4
w4-03,gpt-4o-mini,5,5
w4-04,gpt-4o-mini,5,5
w4-05,gpt-4o-mini,5,5
w4-06,gpt-4o-mini,5,5
w4-07,gpt-4o-mini,5,5
w4-08,gpt-4o-mini,5,5
w4-09,gpt-4o-mini,5,5
w4-10,gpt-4o-mini,3,4
w1-01,gpt-4o,5,5
w1-02,gpt-4o,4,4
w1-03,gpt-4o,5,5
w1-04,gpt-4o,5,5
w1-05,gpt-4o,5,5
w1-06,gpt-4o,5,5
w1-07,gpt-4o,4,5
w1-08,gpt-4o,5,5
w1-09,gpt-4o,5,5
w1-10,gpt-4o,3,3
w2-01,gpt-4o,5,5
w2-02,gpt-4o,5,5
w2-03,gpt-4o,5,5
w2-04,gpt-4o,5,5
w2-05,gpt-4o,5,5
w2-06,gpt-4o,5,5
w2-07,gpt-4o,5,5
w2-08,gpt-4o,5,5
w2-09,gpt-4o,5,5
w2-10,gpt-4o,5,5
w3-01,gpt-4o,5,5
w3-02,gpt-4o,5,5
w3-03,gpt-4o,5,5
w3-04,gpt-4o,4,5
w3-05,gpt-4o,5,5
w3-06,gpt-4o,5,5
w3-07,gpt-4o,5,5
w3-08,gpt-4o,5,5
w3-09,gpt-4o,5,5
w3-10,gpt-4o,5,5
w4-01,gpt-4o,1,5
w4-02,gpt-4o,3,4
w4-03,gpt-4o,5,5
w4-04,gpt-4o,5,5
w4-05,gpt-4o,5,5
w4-06,gpt-4o,5,5
w4-07,gpt-4o,5,5
w4-08,gpt-4o,5,5
w4-09,gpt-4o,5,5
w4-10,gpt-4o,3,4
w1-04,mistral-large,5,5
w1-09,mistral-large,5,5
w2-01,mistral-large,5,5
w2-02,mistral-large,5,5
w2-03,mistral-large,5,5
