strategy,team,cost_eur
B1-premium-static,analytics,0.008095
B1-premium-static,hr,0.015415
B1-premium-static,knowledge,0.003018
B1-premium-static,platform,0.012403
B2-round-robin,analytics,0.001607
B2-round-robin,hr,0.002898
B2-round-robin,knowledge,0.001698
B2-round-robin,platform,0.003972
B3-least-cost,analytics,0.000056
B3-least-cost,hr,0.000055
B3-least-cost,knowledge,0.000117
B3-least-cost,platform,0.000472
B4-static-policy,analytics,0.008095
B4-static-policy,hr,0.000331
B4-static-policy,knowledge,0.000182
B4-static-policy,platform,0.012403
B5-budget-hard-block,analytics,0.008095
B5-budget-hard-block,hr,0.015415
B5-budget-hard-block,knowledge,0.003018
B5-budget-hard-block,platform,0.012403
B6-ours,analytics,0.000497
B6-ours,hr,0.000717
B6-ours,knowledge,0.000182
B6-ours,platform,0.012403
